,Incident Name,County,Administrative Unit,Acres Burned,Crews Involved,Dozers,Engines,Fatalities,Helicopters,Injuries,Personnel Involved,Structures Damaged,Structures Destroyed,Structures Threatened,Water Tenders,Fire Started,Fire Extinguished,Longitude,Latitude,Incident ID
664,Murphy Fire,Lake,CAL FIRE Sonoma-Lake-Napa Unit,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-17T14:44:00Z,2018-01-09T11:59:00Z,-122.62382,38.86056,1ba1f29a-5281-4f53-857d-106ae5e7db84
665,Mesa Fire,Santa Barbara,Santa Barbara County Fire,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-17T14:55:00Z,2018-01-09T11:59:00Z,-120.13249,34.72379,a26038b9-df04-4ade-b918-0c4fb9a8dbcf
666,Fox Fire,Tulare,CAL FIRE Tulare Unit,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-17T15:32:00Z,2018-01-09T11:59:00Z,-118.78928,36.18815,80844950-65c8-44ec-b63a-7e51412fea0c
667,Hudson Fire,Kern,Kern County Fire ,1083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-18T11:45:00Z,2018-01-09T11:59:00Z,-119.44751,34.94373,27759042-9df3-4d57-951e-f5727bcf013f
668,Laverne Fire,Shasta,CAL FIRE Shasta-Trintiy Unit,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2017-07-18T12:39:00Z,2018-01-09T12:01:00Z,-122.43608,40.47106,3c61a039-cf71-40da-89e9-bcc5a62e2c1a
669,Ellis Fire,Riverside,CAL FIRE/Riverside County Fire,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-18T15:34:00Z,2018-01-09T12:01:00Z,-117.25075,33.75526,244961af-65d5-472b-972f-e02df96e9ccb
670,Hogback Fire,Tulare,CAL FIRE Tulare Unit,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-18T15:50:00Z,2018-01-09T12:01:00Z,-118.99944,36.64404,7a317400-8838-4fd4-8c2f-b8c12add5d6a
671,Willms Fire,Stanislaus,CAL FIRE Tuolumne-Calaveras Unit,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-18T22:39:00Z,2018-01-09T12:01:00Z,-120.65764,37.81827,1eef0c21-122b-4522-80d1-edf08c82c777
672,Marble Fire,Del Norte,USFS - Six Rivers National Forest,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-19T14:00:00Z,2018-01-09T12:01:00Z,-123.506,41.478,be5275b7-1472-4423-a9c8-0f2491179150
673,Humboldt Fire,Butte,Unified Command: CAL FIRE/Butte County and Chico Fire Department,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-19T16:02:00Z,2018-04-12T14:52:00Z,-121.74121,39.76243,510c877d-b80b-423f-b7e0-4276ce646f4a
674,Creek Fire,Glenn,City of Orland Fire Department,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-19T17:30:00Z,2018-01-09T12:02:00Z,-122.17657,39.75425,47c9e99d-ad11-497f-8238-cfd815423262
675,Zenon Fire,San Luis Obispo,CAL FIRE San Luis Obispo Unit,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-20T14:43:00Z,2018-01-09T12:03:00Z,-120.5634,35.06472,7dd19215-986b-4365-a40d-2267b4a05de0
676,Elephant Fire,Tulare,CAL FIRE Tulare Unit,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-20T19:16:00Z,2018-01-09T12:02:00Z,-119.06598,36.22265,0d93e84b-8460-4d5d-946c-630ade76747d
677,Grizzly Fire,Nevada,CAL FIRE Nevada-Yuba-Placer Unit,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-21T16:50:00Z,2018-01-09T12:03:00Z,-120.97586,39.36902,d9f83833-30c4-448d-b2ca-c5a63791b83d
678,Dollar Fire,San Bernardino,USFS - San Bernardino National Forest,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-22T13:35:00Z,2018-01-09T12:03:00Z,-117.14466,34.20152,84c8a735-9e8f-4310-84ab-39079ad1ea14
679,Lost Fire,San Diego,Unified Command: CAL FIRE San Diego County Fire Authority and Cleveland National Forest - USFS,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-22T15:00:00Z,2018-04-12T14:52:00Z,-116.66107,33.34659,918e4e6c-7814-42ed-9cd5-aa11d29367da
680,Seine Fire,San Bernardino,San Bernardino National Forest - USFS ,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-22T15:49:00Z,2018-01-09T12:03:00Z,-117.199,34.139,a441e39a-1be1-4be5-8c07-b32bc6f07df0
681,Warner Mountain Lightning,Modoc,Modoc National Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-23T00:00:00Z,2018-01-09T12:04:00Z,-120.304,41.338,42f93f6b-0ada-4267-8e6e-4674055ed9c8
682,High Fire,San Bernardino,Unified Command: CAL FIRE San Bernardino-Inyo-Mono Unit / San Bernardino County Fire,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-23T15:53:00Z,2018-01-09T12:04:00Z,-117.03031,34.41204,1d8a8aaf-f294-46e1-8224-6ea3e8c39634
683,Castro Fire,Santa Clara,CAL FIRE Santa Clara Unit,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-23T16:07:00Z,2018-01-09T12:04:00Z,-121.55552,36.96607,e8ebb6f2-16f5-4342-bce1-d36ff9c9422c
684,Olive Fire,San Luis Obispo,CAL FIRE San Luis Obispo unit,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-24T14:43:00Z,2018-01-09T12:05:00Z,-120.23656,35.7751,907cd7cd-cc26-4529-a9f8-cee1e1560086
685,Spenceville Fire,Yuba,CAL FIRE Nevada-Yuba-Placer Unit,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2017-07-24T14:56:00Z,2018-01-09T12:05:00Z,-121.3519,39.06522,ebcee501-5709-4382-8eab-d8595ba6606d
686,Clear Complex (merged into Eclipse Complex),Siskiyou,Klamath National Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-25T12:45:00Z,2018-01-09T12:05:00Z,-123.508,41.702,5948001c-9c7b-4722-9fa4-9f0323886bc0
687,Woodland Fire,El Dorado,CAL FIRE Amador-El Dorado Unit,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-25T14:13:00Z,2018-01-09T12:06:00Z,-120.73757,38.69775,855e28e2-753b-4c36-bf39-27ace518776d
688,Ranch Fire,El Dorado,CAL FIRE Amador - El Dorado Unit,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-26T13:58:00Z,2018-01-09T12:06:00Z,-120.70013,38.559707,2fd950a8-fadb-467c-ab59-88e7ea007738
689,Latrobe Fire,Sacramento,CAL FIRE Amador-El Dorado Unit,1268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-26T14:45:00Z,2018-01-09T12:06:00Z,-121.104,38.5181,8cf9e7dc-74b9-4b97-9a03-f523f3eff56f
690,Orleans Complex,Siskiyou,Six Rivers National Forest,27276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-26T18:00:00Z,2018-01-09T12:07:00Z,-123.501,41.59,51bf0e2a-7f1f-4fe1-aeaa-70510ad42d0e
691,Weller Fire,Santa Clara,CAL FIRE Santa Clara Unit,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-26T23:19:00Z,2018-01-09T12:07:00Z,-121.84108,37.44485,7b95ce91-9581-4fe6-887d-ab1bf6420205
692,Greenhorn Fire,Nevada,CAL FIRE Nevada - Yuba - Placer Unit,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-27T14:49:00Z,2018-01-09T12:06:00Z,-120.95498,39.16826,77ab4672-c61f-488f-a165-acb40eeac713
693,Live Fire,Tehama,CAL FIRE Tehama-Glenn Unit,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-28T13:24:00Z,2018-01-09T12:07:00Z,-122.3209,40.1583,a3bd6249-555a-4ee1-99c0-69333d71bdfb
694,Gorman Fire,Los Angeles,Los Angles County Fire Department,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-28T15:25:00Z,2018-01-09T12:07:00Z,-118.851943,34.792882,ce6fb2ba-9799-4b36-a64f-8bf02392d6ee
695,Placentia Fire,Riverside,Riverside County Fire Department,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-28T18:11:00Z,2018-01-09T12:07:00Z,-117.18552,33.81976,ee20b421-06cd-40d2-a22c-0f9e8ddeee71
696,Jacksonville Fire,Tuolumne,CAL FIRE Tuolumne-Calaveras Unit,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-29T13:50:00Z,2018-01-09T12:09:00Z,-120.408135,37.905545,51e42770-97b4-4204-af57-8ab56992eb71
697,Hill Fire,Siskiyou,CAL FIRE Siskiyou Unit,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-29T16:33:00Z,2018-01-09T12:12:00Z,-121.9741,41.9808,e9862c12-da9f-4205-9993-91a3b1437de4
698,Sky Fire,Shasta,CAL FIRE Shasta Trinity Unit,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-29T17:29:00Z,2018-01-09T12:12:00Z,-122.17384,40.69259,00a13d84-415e-4106-aa31-2e664ed9eabf
699,Minerva Fire,Plumas,U.S. Forest Service - Plumas National Forest,4310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-29T18:55:00Z,2018-01-09T12:08:00Z,-120.9761,39.9034,a95302d3-8574-4900-9d2a-daa33c55b70e
700,Largo Fire,El Dorado,CAL FIRE Amador-El Dorado Unit,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-30T01:45:00Z,2018-01-09T12:14:00Z,-121.039267,38.538332,fd0a69a3-91d5-422b-bab4-dc6a4b0de134
701,Garden Fire,Kern,Sequoia National Forest,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-30T16:17:00Z,2018-01-09T12:14:00Z,-118.654,35.543,0f4499f5-846c-4791-994e-81df04fe691a
702,Twist Fire,Tuolumne,CAL FIRE Tuolumne-Calaveras Unit ,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-30T16:28:00Z,2018-01-09T12:14:00Z,-120.36005,37.90014,1f8c73d1-2cb8-4e98-bd44-d6dccd601c7e
703,Roadrunner Fire,Tulare,CAL FIRE Tulare Unit,2289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-30T17:43:00Z,2018-01-09T12:15:00Z,-118.94252,36.0226,eff9d678-293f-43aa-96af-c5cf3203b31f
704,Summit Complex,Stanislaus,Stanislaus National Forest,5247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-31T13:44:00Z,2018-01-09T12:15:00Z,-119.782,38.329,68328f20-5aed-404d-8c29-81b4b69e8439
705,Rose Fire,Riverside,CAL FIRE / Riverside County Fire,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-31T14:22:00Z,2018-01-09T12:15:00Z,-117.396404,33.689092,3dcf54bc-89f5-41b3-b797-5dcdf0e629e8
706,Mile Fire,San Bernardino,San Bernardino National Forest,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-31T14:44:00Z,2018-01-09T12:16:00Z,-117.26969,34.19076,32a79e9b-8ce3-477e-b698-2eb16ef66aac
707,Independence Fire,Sonoma,CAL FIRE Sonoma-Lake-Napa Unit,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-31T23:17:00Z,2018-01-09T12:15:00Z,-122.90217,38.70289,75fb489f-1e3e-4929-a6fb-a288416b96e0
708,Empire Fire,Mariposa,Yosemite National Forest,8094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-01T08:45:00Z,2018-01-09T12:16:00Z,-119.618,37.644,2995e2b3-f18d-44ec-952f-9f148b8354d9
709,Sway Fire,Humboldt,Six Rivers National Forest,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-01T10:23:00Z,2018-01-09T12:16:00Z,-123.57562,40.39799,82689e99-9158-4403-b8c5-bababc3c81f6
710,Falls Fire,Tuolumne,CAL FIRE Tuolumne-Calaveras Unit,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-01T16:33:00Z,2018-01-09T12:16:00Z,-120.31157,37.65986,09f55a45-f261-492f-b496-8744d878ef57
711,Sandy Fire,Trinity,Shasta-Trinity National Forest,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-02T08:30:00Z,2018-01-09T12:17:00Z,-123.39253,40.79902,5367822f-b489-4da5-b90e-c5b2c8abf318
712,Red Fire,San Luis Obispo,CAL FIRE San Luis Obispo Unit / Los Padres National Forest,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-02T10:15:00Z,2018-01-09T12:17:00Z,-120.28037,35.40357,a1554868-0f98-41d4-9132-1f0bbf10b22c
713,Camatta Fire,San Luis Obispo,CAL FIRE San Luis Obispo Unit,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-02T10:33:00Z,2018-01-09T12:17:00Z,-120.2913,35.4403,47dd7f12-4141-473e-b2c1-2e625df3b784
714,Sandy Fire,Trinity,Shasta-Trinity National Forest,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-02T11:13:00Z,2018-01-09T12:16:00Z,-123.375,40.804,5ef75bbf-adba-424a-bef3-a5efed5b5e2c
715,Indian Fire,Tulare,Inyo National Forest,2295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-02T18:00:00Z,2018-01-09T12:17:00Z,-118.296,36.257,345f6faa-9946-418e-8a60-d5cb9efb3af4
716,Saw Fire,Humboldt,CAL FIRE Humboldt-Del Norte Unit,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-03T11:58:00Z,2018-01-09T12:17:00Z,-123.76099,40.11794,dd6c5dfb-e5f5-4c1b-ab7f-aa9f3a4f60fc
717,Parker 2 Fire,Modoc,Modoc National Forest,7697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-03T14:00:00Z,2018-01-09T12:18:00Z,-120.321,41.466,3e005fd9-11a4-4145-a71f-8a4cf9a1341a
718,Bryant Fire,San Bernardino,CAL FIRE San Bernardino Unit / San Bernardino National Forest / City of Yucaipa ,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-03T15:35:00Z,2018-01-09T12:18:00Z,-117.03826,34.08492,093bdb67-4c14-402d-a034-3714b7125c49
719,Rincon Fire,Los Angeles,Angeles National Forest,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-03T16:21:00Z,2018-01-09T12:18:00Z,-117.85182,34.23925,9705ad0d-5bf1-4221-a7c3-3af6d99be3d0
720,Blocksburg Fire,Humboldt,CAL FIRE Humboldt-Del Norte Unit,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-03T16:41:00Z,2018-01-09T12:18:00Z,-123.64281,40.27582,e1582691-805c-4627-b20b-e5e8ba110f20
721,Stewart Fire,Riverside,CAL FIRE/Riverside County Fire,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-04T14:25:00Z,2018-01-09T12:19:00Z,-117.239099,34.009026,58d62aeb-29f5-45f5-93ac-a657b0708149
722,Calgary Fire,Kern,Kern County Fire Department / Sequoia National Forest,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-05T13:16:00Z,2018-01-09T12:19:00Z,-118.47307,35.70639,e4834d78-fd4a-44b4-8669-52cbdc41113d
723,W-2 Fire,Lassen,Bureau of Land Management Northern California District,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-06T15:29:00Z,2018-01-09T12:20:00Z,-120.74968,41.11989,93fe220b-0458-4e26-827c-93883093681e
724,Chilcoot Fire,Plumas,Tahoe National Forest,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-06T15:32:00Z,2018-01-09T12:20:00Z,-120.1397,39.75371,d3213d2a-4b10-4eef-b8df-bdebc5cd948f
725,Poslin Fire,Lassen,Plumas National Forest,859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-06T19:52:00Z,2018-01-09T12:21:00Z,-120.066,39.888,06664fe1-c56c-4a00-833c-f9f3f6d6d18f
726,Reed Fire,Riverside,CAL FIRE/Riverside County Fire/San Bernardino National Forest ,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-07T14:14:00Z,2018-01-09T12:23:00Z,-116.8247,33.57139,ab009bd1-6784-4fda-a931-532520742a8b
727,Young Fire,Siskiyou,Six Rivers National Forest,3142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-07T17:45:00Z,2018-01-09T12:26:00Z,-123.676,41.853,687e2987-2306-477b-bbaf-0d5465eb1e7c
728,Country Fire,Monterey,CAL FIRE San Benito-Monterey,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-07T18:08:00Z,2018-01-09T12:27:00Z,-120.64584,35.86596,e65c3e0b-08d9-43cf-b1ac-8e57d5f407fc
729,Ruth Complex,Trinity,Six Rivers National Forest,4736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-07T22:30:00Z,2018-01-09T12:27:00Z,-123.36882,40.17598,9eb07177-e62a-4f5a-adeb-e95508e31959
730,Bottle Fire,Lake,CAL FIRE Sonoma-Lake-Napa Unit,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-08T16:40:00Z,2018-01-09T12:28:00Z,-122.81135,38.94599,21714c67-dc5a-4d86-8794-79d85f87b71b
731,Rose Fire,Kern,CAL FIRE/Kern County Fire,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-10T14:32:00Z,2018-01-09T12:31:00Z,-118.9267,34.92907,09e74687-85e7-488f-a5c8-8a11f75ab7d8
732,Paskenta Fire ,Tehama,CAL FIRE Tehama-Glenn Unit,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-10T17:24:00Z,2018-01-09T12:31:00Z,-122.5415,39.87983,a43d0b54-a91e-40ba-b121-2e0f067201b6
733,Canyon Fire,Napa,CAL FIRE Sonoma-Lake-Napa Unit ,114.0,1.0,0.0,5.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,2017-08-11T12:57:00Z,2018-01-09T12:35:00Z,-122.2483,38.49336,4b885d8c-8951-46c5-a3d1-520cfd0ac964
734,Tilton Fire,Santa Clara,CAL FIRE Santa Clara Unit,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-11T14:55:00Z,2018-01-09T12:39:00Z,-121.68165,37.14653,a8ab00de-6074-45a0-9e3d-f43b090e8346
735,Yankee Fire,San Luis Obispo,CAL FIRE San Luis Obispo/Department of Defense-Camp Roberts ,775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-11T16:06:00Z,2018-01-09T12:36:00Z,-120.77485,35.7908,e6308517-0b7c-4efb-9369-b9aa3fe3ad14
736,Ward Fire,Siskiyou,Rogue-River-Siskiyou National Forest,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-13T12:41:00Z,2018-01-09T12:38:00Z,-122.9401,41.99279,f0dbf1f5-9f21-4d11-a432-d32f7f18c412
737,Nuevo Fire,Riverside,CAL FIRE/Riverside County Fire,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-13T13:34:00Z,2018-01-09T12:38:00Z,-117.124538,33.797216,bae69034-3bf6-48c3-a642-d0242cf090f9
738,Blaine Fire,Riverside,CAL FIRE/Riverside County Fire,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-13T16:10:00Z,2018-01-09T12:38:00Z,-117.30819,33.98212,c57ff6c2-e5df-48c5-831c-1dbad73df5ef
739,Coronado Fire,Mariposa,CAL FIRE Madera-Mariposa-Merced Unit ,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-13T16:23:00Z,2018-01-09T12:40:00Z,-120.30046,37.62823,8779fe43-665b-4643-a730-6344c44018c7
740,Miller Complex,Siskiyou,Rogue River-Siskiyou National Forest,39715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-14T14:00:00Z,2018-01-09T12:42:00Z,-123.218,42.039,d43c681d-b57e-47e6-a6ad-e3ed08de9ff7
741,South Fork Fire,Mariposa,Yosemite National Park ,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-14T14:28:00Z,2018-01-09T12:39:00Z,-119.598,37.538,b02ec4f1-ac5c-4b22-b7fa-5834af16d807
742,Mias Fire,Riverside,CAL FIRE Riverside Unit,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-14T15:45:00Z,2018-01-09T12:42:00Z,-116.88066,33.95036,c3ad74dc-6842-463f-8808-05161a8ba570
743,Eclipse Complex,Siskiyou,Klamath National Forest,78698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-15T07:55:00Z,2018-01-09T12:43:00Z,-123.474,41.841,490ae25d-c3d8-4a90-9e75-0ad85e0f629f
744,Corner Fire,Shasta,CAL FIRE Shasta-Trinity Unit,17.0,1.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2017-08-17T14:15:00Z,2018-01-09T12:42:00Z,-121.5935,40.92602,1b49e4e3-7506-4bf4-b86f-fd3ca93fd85b
745,Hills Fire,Riverside,CAL FIRE Riverside Unit,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-19T16:31:00Z,2018-01-09T12:43:00Z,-117.00258,33.87679,a1b6ff5e-0533-408c-b02a-3061f60fb263
746,Beale Fire,Yuba,Unified Command: CAL FIRE Nevada-Yuba-Placer Unit/Beale Air Force Base,867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-20T14:44:00Z,2018-01-09T12:43:00Z,-121.32957,39.1234,f31a117a-572a-4956-9797-ad08e3933bb7
747,Toll Fire,Plumas,Plumas National Forest,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-20T16:26:00Z,2018-01-09T12:43:00Z,-120.89746,39.9864,3becdf3e-b110-41ab-86ce-645e041d296f
748,Eclipse Fire,San Diego,CAL FIRE San Diego Unit,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-21T14:00:00Z,2018-01-09T12:43:00Z,-116.42907,32.65003,2f1b8cff-f7d6-4459-866b-7c84bd531dcc
749,Range Fire,Alameda,California National Guard,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-22T14:00:00Z,2018-01-09T12:44:00Z,-121.90516,37.72543,89b5d4db-ce4e-43b9-8618-f89088d35ee1
750,Juniper Fire,Fresno,CAL FIRE / Fresno County Fire,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-23T13:28:00Z,2018-01-09T12:44:00Z,-120.443545,36.099681,83d87ff0-be6c-46fa-ab96-b9845d5d4edc
751,I-5 Fire,Kings,Kings County,2312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-24T18:13:00Z,2018-01-09T12:44:00Z,-120.05404,36.05187,2f2a4afd-06f1-4b57-b3f2-db8e3d9ac05c
752,Montezuma Fire,San Diego,CAL FIRE San Diego Unit,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-26T11:30:00Z,2018-01-09T12:44:00Z,-116.46989,33.20988,1f8d9fe1-e644-4f53-88ae-4418cc0b4451
753,Peg Fire,Lassen,CAL FIRE Lassen-Modoc Unit,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-26T12:35:00Z,2018-01-09T12:44:00Z,-120.48641,40.80968,bfc6b8e4-8021-44ca-8f92-58c724682ba1
754,Flat Fire,Fresno,CAL FIRE / Fresno County Fire,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-26T14:31:00Z,2018-01-09T12:45:00Z,-119.43376,36.93332,90473f02-6572-4a9b-9451-1a18a4bee1ed
755,Vestal Fire,Tehama,CAL FIRE Tehama-Glenn Unit,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-26T15:03:00Z,2018-01-09T12:45:00Z,-122.70449,40.29831,becd0762-0e22-4c54-a1c5-3ecd3660dd70
