,Incident Name,County,Administrative Unit,Acres Burned,Crews Involved,Dozers,Engines,Fatalities,Helicopters,Injuries,Personnel Involved,Structures Damaged,Structures Destroyed,Structures Threatened,Water Tenders,Fire Started,Fire Extinguished,Longitude,Latitude,Incident ID
20,Smiley Fire,Riverside,CAL FIRE/Riverside County Fire,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-05-25T14:59:00Z,2013-05-25T23:00:00Z,-117.187934,33.963591,9795afee-7e60-4ab3-b5c3-7df67f91c5f9
21,Homestead Fire,San Luis Obispo,CAL FIRE San Luis Obispo Unit,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-05-25T17:35:00Z,2013-05-25T18:45:00Z,-120.6368,35.5123,5b5ce06d-7ea9-4d28-b564-715fd0d04f3f
22,General Fire,San Diego,CAL FIRE San Diego Unit,2500.0,54.0,27.0,42.0,0.0,27.0,6.0,1217.0,0.0,0.0,0.0,27.0,2013-05-26T12:04:00Z,2013-05-31T06:15:00Z,-116.5209,33.04458,07a5397c-a665-4f84-9a82-5f689cb2c8f3
23,White Fire,Santa Barbara,USFS Los Padres National Forest,1984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-05-27T14:45:00Z,2013-05-30T19:30:00Z,-119.82429,34.55048,abc61995-8bea-4be1-aa49-ee378ab3baaa
24,Magic Fire,Los Angeles,Los Angeles County Fire Department,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-05-28T11:30:00Z,2013-05-29T15:30:00Z,-118.58688,34.419284,794412f2-1ba2-4217-ac38-49272a96fb6f
25,Olive Fire,Santa Barbara,Santa Barbara County Fire,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-05-28T15:24:00Z,2013-05-29T10:30:00Z,-120.074655,34.611824,cb5f34a0-177e-445d-9349-dd94063a01d0
26,Shelton Fire,San Joaquin,CAL FIRE Tuolumne-Calaveras Unit ,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-05-30T11:20:00Z,2013-05-30T13:25:00Z,-120.90325,38.04993,0b51d59b-457d-4a62-b066-55c2b8d400e2
27,Powerhouse Fire,Los Angeles,USFS Angeles National Forest/Los Angeles County/CAL FIRE,30274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-05-30T15:28:00Z,2013-06-08T18:30:00Z,-118.423176,34.585595,bf37805e-1cc2-4208-9972-753e47874c87
28,Branch Fire,San Luis Obispo,Los Padres National Forest,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-01T17:27:00Z,2013-06-03T18:30:00Z,-120.05131,35.15832,213dc89e-9f29-4480-91a6-aec5fb694999
29,Murphy Fire,Tuolumne,CAL FIRE Tuolumne-Calaveras Unit,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-02T13:30:00Z,2013-06-02T16:55:00Z,-120.33313,37.91529,98bfbb7c-8446-4e2e-a268-7e961353723c
